County/ Sub- County,Total,"Collected by
County
Government","Collected by
Community
Association
(CBOs Youth
Groups Faith
based
organizations)","Collected by
private
company","Dumped in the
compound","Dumped in
the street/
Vacant plot/
Drain/
Waterways","Dumped in
the Latrine","Burnt in
open ",Buried,"Compost
pit","Burnt in
a pit","Not
Stated"
UGUNJA,"26,321",0.4,0.0,0.2,9.6,1.7,1.9,15.4,2.4,61.8,6.6,0.0
BONDO,"50,454",0.8,0.0,0.4,9.9,1.5,4.4,40.4,2.6,19.9,20.0,0.0
RARIEDA,"36,930",0.3,0.0,0.1,13.9,1.4,5.2,38.5,3.5,23.1,14.0,0.1
KISUMU,"296,846",2.5,2.5,5.0,6.2,1.5,5.4,39.7,2.7,18.5,15.9,0.0
KISUMU EAST,"61,499",3.6,1.3,5.0,4.8,1.5,5.9,47.3,2.0,11.9,16.8,0.0
KISUMU CENTRAL,"52,163",7.9,12.3,20.0,3.4,3.5,1.9,31.7,1.3,8.8,9.4,0.0
KISUMU WEST,"42,785",1.0,0.2,1.5,6.3,1.2,5.9,33.9,2.5,28.5,19.0,0.0
SEME,"29,404",0.0,0.0,0.1,12.8,0.9,6.5,22.4,3.2,40.8,13.3,0.0
MUHORONI,"36,982",1.0,0.1,1.6,7.3,0.9,5.1,52.1,3.8,15.4,12.6,0.0
NYANDO,"38,460",0.4,0.3,0.4,6.1,0.4,6.8,51.7,4.6,11.0,18.3,0.0
NYAKACH,"35,553",0.3,0.0,0.2,6.4,1.2,6.7,34.0,2.9,24.8,23.5,0.0
HOMA BAY,"260,290",1.2,0.1,0.5,11.7,1.5,6.4,37.3,4.8,21.3,15.2,0.0
HOMA BAY,"28,471",5.2,0.3,1.3,6.6,2.3,5.1,37.4,4.3,17.0,20.3,0.0
NDHIWA,"47,956",0.3,0.0,0.5,14.3,1.3,4.9,30.4,5.8,28.4,14.0,0.0
RACHUONYO NORTH,"41,661",0.1,0.1,0.4,12.1,1.0,8.1,42.0,3.6,15.6,16.9,0.0
RACHUONYO EAST,"27,229",0.2,0.0,0.1,11.2,1.6,4.1,34.7,5.8,30.3,12.0,0.0
RACHUONYO SOUTH,"30,693",2.2,0.1,0.5,11.0,1.8,7.0,32.8,5.1,26.6,13.0,0.0
RANGWE,"26,983",0.7,0.1,0.3,10.6,0.9,7.2,30.1,5.3,29.1,15.7,0.0
SUBA NORTH,"29,662",0.9,0.3,0.9,8.9,2.0,7.6,49.1,2.3,10.7,17.3,0.0
SUBA SOUTH,"27,635",0.6,0.0,0.1,17.1,1.7,6.9,43.7,6.6,10.8,12.4,0.0
MIGORI,"238,133",1.8,0.2,0.9,10.0,3.3,6.1,30.6,4.9,26.7,15.5,0.0
AWENDO,"27,014",1.7,0.0,1.4,10.6,4.8,6.6,26.1,4.6,29.0,15.1,0.0
KURIA EAST,"17,267",0.3,0.0,0.2,11.6,4.8,5.2,26.5,5.1,32.8,13.4,0.0
KURIA WEST,"39,723",5.6,0.3,1.6,12.4,5.1,5.2,24.4,5.1,30.2,10.2,0.0
NYATIKE,"39,358",0.2,0.1,0.1,8.6,1.7,5.7,44.4,3.7,13.2,22.3,0.0
RONGO,"29,007",0.8,0.1,0.8,6.7,1.9,10.7,27.8,4.4,32.1,14.8,0.0
SUNA EAST,"27,214",3.5,0.5,1.7,10.4,4.1,3.7,22.9,4.9,29.8,18.5,0.1
SUNA WEST,"28,839",0.7,0.4,1.0,7.3,2.5,7.5,34.9,5.0,23.5,17.2,0.0
URIRI,"29,711",0.2,0.0,0.2,12.3,2.4,4.6,32.9,6.8,29.2,11.3,0.0
KISII,"307,254",5.2,0.3,0.6,15.9,2.3,4.5,31.5,8.4,23.3,7.9,0.0
ETAGO,"18,610",0.4,0.0,0.1,15.4,4.9,3.5,34.2,10.8,24.3,6.5,0.0
GUCHA,"19,621",3.3,0.1,0.1,20.0,2.1,3.7,26.1,8.7,28.8,6.9,0.0
GUCHA SOUTH,"19,627",0.5,0.1,0.2,13.2,2.5,5.1,38.8,10.1,21.5,8.1,0.0
KENYENYA,"30,985",2.0,0.2,0.2,23.0,3.3,5.1,30.6,7.9,22.0,5.7,0.0
KISII CENTRAL,"44,037",18.8,0.7,1.0,13.5,1.5,3.5,25.5,5.7,21.9,7.9,0.0
KISII SOUTH,"31,574",1.4,0.4,0.4,15.0,3.0,6.1,32.2,12.5,22.3,6.7,0.0
KITUTU CENTRAL,"41,233",11.4,0.7,2.1,12.7,1.8,4.3,29.1,5.8,23.3,8.8,0.0
MARANI,"26,133",0.1,0.0,0.1,19.6,2.9,6.0,25.2,10.8,26.8,8.5,0.0
MASABA SOUTH,"29,206",1.9,0.0,0.1,13.9,0.7,5.6,35.7,8.3,23.9,9.8,0.0
NYAMACHE,"30,583",1.7,0.0,0.1,13.8,1.9,3.9,37.7,7.5,24.0,9.4,0.0
SAMETA,"15,645",0.8,0.0,0.2,19.7,3.0,2.3,40.7,7.7,17.9,7.6,0.0
NYAMIRA,"150,499",2.6,0.1,0.9,16.5,1.3,3.7,29.7,7.4,28.6,9.1,0.0
BORABU,"19,404",3.3,0.0,5.1,11.4,0.7,4.8,31.5,6.2,25.3,11.7,0.0
MANGA,"23,836",2.0,0.0,0.5,16.7,1.0,4.4,35.0,6.2,25.9,8.2,0.0
MASABA NORTH,"27,904",3.9,0.3,0.2,13.8,0.7,4.3,26.2,4.9,34.8,11.0,0.0
NYAMIRA NORTH,"40,396",0.9,0.1,0.2,16.1,2.1,2.9,30.3,10.6,28.5,8.4,0.0
NYAMIRA SOUTH,"38,959",3.5,0.1,0.3,21.3,1.4,3.1,27.6,7.1,27.6,7.9,0.0
NAIROBI CITY,"1,494,676",12.9,37.9,30.0,1.6,7.8,0.9,4.5,0.1,2.2,2.0,0.1
DAGORETTI,"154,949",10.2,21.4,43.2,2.9,2.0,1.2,9.2,0.2,4.6,5.0,0.1
EMBAKASI,"346,462",14.5,41.3,30.2,1.5,5.8,0.6,2.7,0.1,2.4,0.7,0.0
KAMUKUNJI,"83,680",20.4,37.4,27.9,1.9,8.2,1.2,1.2,0.2,1.1,0.5,0.1
KASARANI,"268,611",10.3,45.5,32.3,1.0,3.6,0.6,3.8,0.1,1.2,1.6,0.0
KIBRA,"61,651",6.5,20.7,15.3,2.9,42.6,2.3,5.0,0.2,3.3,1.2,0.0
LANGATA,"60,187",13.0,5.7,47.7,2.1,17.8,1.5,5.2,0.2,3.0,3.7,0.1
MAKADARA,"70,080",13.7,49.8,21.0,1.4,7.8,0.5,3.6,0.1,1.4,0.7,0.0
MATHARE,"74,967",12.0,55.1,8.1,1.4,20.1,0.7,0.8,0.1,1.4,0.2,0.1
NJIRU,"204,492",8.4,59.7,14.0,0.7,3.0,0.6,8.3,0.1,1.0,4.1,0.1
STAREHE,"66,108",24.7,21.2,31.6,1.8,15.1,1.6,1.5,0.0,1.9,0.6,0.1
WESTLANDS,"103,489",18.1,8.5,56.3,1.5,2.7,1.5,4.4,0.3,4.0,2.6,0.0
