Entity,Name
NGO,Best Konsult (Operation Drug Alert)
NGO,Bethesda Home for the Blind (BHB)
NGO,Better Life World Foundation
NGO,Better Living Foundation
NGO,Betty Anyanwu-Akeredolu Foundation
NGO,Biakwan Light
NGO,Biire Child and Maternal Health Foundation
NGO,Bina Foundation for People with Special Needs (BF)
NGO,Biographies Development Organization
NGO,Bioresources Development & Conservation Programme
NGO,Blessing Simepriye Anyanwu Foundation (BSAFoundation)
NGO,Boabab for Women's Human Rights (BOABAB)
NGO,Body Positive foundation
NGO,Boigedacha Literary Initiative (BDLI)
NGO,Bomarah Foundation
NGO,Books-No-Wheel
NGO,Borno Coalition for Democracy and Progress (BOCODEP)
NGO,"Boy Scouts of Nigeria, Borno State Branch"
NGO,Breast Cancer Association of Nigeria (BRECAN)
NGO,Breastfeeding Promotion and Counselling Group (BPCG)
NGO,Business Improvement Group Multi Purpose Cooperative Society Owerri
NGO,Business and Professional Women Nigeria
CSO,CAER
NGO,CATHOLIC WOMEN ORGANISATION NIGERIA
NGO,CBD Forum
NGO,CEDDERT
NGO,CEFNET
NGO,CENCOD
NGO,CHILD CARE TRUST
NGO,CIRDDOC
NGO,CISME
CSO,CLEEN Foundation
CSO,COHDAT
NGO,COPODIN
NGO,COVALENCE S.A.
NGO,CSO Consultation
NGO,CUREFO Reading Foundation
NGO,Calabar Doyen Lioness Club
NGO,Calvary Foundation International Inc. (CFI)
NGO,Campaign Against Polygamy & Women Oppression in Nigeria
NGO,Campaign Against Spread of AIDS (CASA 2000)
NGO,Campaign for Child Right (CFCR)
NGO,Campaign for Democracy (CD)
NGO,Cantoment Youth Development Association (CYDA)
NGO,Care Call Foundation
NGO,Care Foundation for the Reforestation of Katsina State (CAREFOR)
NGO,Care Organization Public Enlightenment (COPE)
NGO,Care and Action Research NGO(CARE NGO)
NGO,Care for Life (CFL)
NGO,Care for Youth Future Initiative
NGO,Carers
NGO,Cares International
NGO,Caring Hand Programme (CAHAP)
NGO,Catalyst for Global Peace and Justice Initiative (CPJ)
NGO,Catholic Development Services Diocese of Jalingo
NGO,Catholic Diocese of Lafia- Community Based Care and Support Project
NGO,"Catholic Institute for Development, Justice and Peace (CIDJAP)"
NGO,"Catholic Provincial Health Department, Jos"
NGO,Catholic Women Organisation CWO
NGO,Center for Advancement of Democracy and the rule of Law (CADRL)
CSO,Center for Citizens with Disabilities (CCD)
NGO,Center for Citizens' Emancipation and Empowerment (CCEE)
NGO,Center for Community Development (CENCOMDEV)
CSO,Center for Democracy and Development
NGO,Center for Economic Viability in Africa
NGO,"Center for Education on Population, AIDS and Drug Abuse (CEPADA)"
NGO,"Center for Gender, Governance and Development (CEGGAD)"
NGO,Center for Good Leadership Awareness & Orientation
NGO,Center for Health Science Training Research and Development International (CHESTRAD International)
NGO,Center for Human Development (CHD)
NGO,"Center for Indigenous Knowledge, Environmental Research and Rural Development (CIKERD)"
CSO,Center for Information Technology and Development (CITAD)
NGO,Center for National Unity and Representative Democracy
NGO,Center for Public Health and Research (CPH)
NGO,"Center for Reproductive Health, Aromatherapy and Development (CEREHAD)"
NGO,Center for Research in Reproductive Health (CRRH)
NGO,Center for Responsive Leadership and Transparency
NGO,Center for Transformation of the Under Privileged
NGO,Central Age Group
NGO,Central Education Service (CES)
CSO,Centre LSD
NGO,Centre for Advanced Social Studies
NGO,Centre for African Settlement Studies and Development (CASSAD)
NGO,"Centre for African Studies, Adult-Education and Rural Development (CASAERD)"
NGO,Centre for Agriculture and Rural Development (CARD)
NGO,Centre for Alternative Development and Self-Enhancement (CEADESE)
NGO,Centre for Animal Rights Protection
NGO,Centre for Appropriate Technology for Rural Women
NGO,Centre for Civic Responsibilities (CCR)
NGO,Centre for Conflict Resolution and Peace Advocacy
NGO,Centre for Constitutional Governance (CCG)
NGO,Centre for Democracy & Development (CDD)
NGO,Centre for Democracy & Human Rights (CDHR)
NGO,Centre for Democratic Research & Training (CDRT)
NGO,Centre for Development Communication (CDC)
NGO,Centre for Development Strategy
NGO,Centre for Development Support Initiatives (CEDSI)
NGO,Centre for Development and Civic Education (CECODEC)
NGO,Centre for Development and Conflict Management Studies (CEDCOMS)
NGO,Centre for Development and Health Promotion Activities (CEDHPA)
NGO,Centre for Education and Management (CEMAD)
NGO,Centre for Education and Prevention of AIDS and Drug Abuse
NGO,Centre for Environmental Impact & Ethics (CEIE)
NGO,Centre for Environmental Resources and Sustainable Ecosystems
NGO,Centre for Free Speech
NGO,Centre for Health & Developmnet in Africa
NGO,Centre for Health and Nutrition Promotion (CHANP)
NGO,Centre for Hope (C-HOPE)
NGO,Centre for Human Rights Research and Development
NGO,Centre for Human Rights and Climate Change Reseacrh (C4HR&CCR)
NGO,"Centre for Justice, Democracy and Human Rights in Nigeria"
NGO,Centre for Law Enforcement Education
NGO,Centre for Leadership Support and Social Progress (CLSSP)
NGO,Centre for Non-Forms Education & Training
NGO,Centre for Organizational and Professional Ethics (COPE)
NGO,Centre for Peace & Conflict Studies
NGO,Centre for Preservation of Utilities and Environment (CPUE International)
NGO,Centre for Re-habilitation &Training (CERAT)
NGO,Centre for Reproductive Health and Rural Community Development
NGO,Centre for Research Education & Development of Freedom of Expression & Associated Rights (CREDO)
NGO,Centre for Research and Documentation (CRD)
NGO,Centre for Research and Preventive Health Care
NGO,"Centre for Research, Evaluation Resources and Development (CRERD)"
NGO,Centre for Responsive Politics
NGO,Centre for Women Studies and Intervention (CWSI)
NGO,Centre for Youth Development
NGO,Centre for Youth Studies
NGO,Centre for life Resources
NGO,Centre for studies in Women's Health
NGO,Centre for the Advancement and Protection of the rights of Vulnerable People
NGO,Centre for the Advancement of Democracy and the Rule of Law
NGO,Centre for the Promotion of Ethics and Transparency
NGO,Centre for the Right to Health (CRH)
NGO,Centre for the Victims of Extra-judical Killings and Torture (C-VEKT Africa)
NGO,Cerebral Palsy Nigeria (CPAN)
NGO,Certified Institute of Development Studies (CIDS)
NGO,Cesela Virginspride Foundation (CVPF)
NGO,Change Managers International Network (CMI)
NGO,Change a Life Foundation
NGO,ChangeMakers African Youth Empowerment Initiative (ChangeMakers Africa)
NGO,Charilove Foundation (CHARILOVE)
NGO,Charity Aid and Development Foundation for Africa (CADFA)
NGO,Charles Nwanamokwu Chiedu Development Foundation (CNCD FOUNDATION)
NGO,Chike International Foundation
NGO,Chike International Foundation
NGO,Child Adolescent and Family Survival Organization (CAFSO)
NGO,Child Association of Nigeria (CAON)
NGO,Child Defence Foundation (CHIDEF)
NGO,Child Development Focus of Nigeria (CDFON)
NGO,Child Education Development Network (CEDNET)
NGO,Child Genius Africa Initiative (CGAI)
NGO,Child Health Organization (CHO)
NGO,Child Help in Legal Defence of Rights to Education in Nigeria (CHILDREN)
NGO,Child Labour & Human Trafficking Relief Initiative
NGO,Child Line Foundation
NGO,Child Resue and Survival Project (CREASUP)
NGO,Child Right Action Coalition (CRAC)
NGO,"Child Rights Brigade, Nigeria (CRIB)"
NGO,Child Rights Organization (CRO)
NGO,Child Rights Protection Initiative (CRPI)
NGO,Child Trust Action (CTA)
NGO,Child to Child (Health Development Agency)
NGO,Child-Missions-International (SOUL-MATE)
NGO,Children & the Environment
NGO,Children's Development Centre
NGO,Children's Hope Initiative (CHI) (For Children's Better Tomorrow)
NGO,Chinwe Bode-Akinwande Foundation (CBA-Foundation)
NGO,Chline Association for Health and Family Development (CAHFAD)
NGO,Christ Against Drug Abuse Ministry (CADAM)
NGO,Christ Cares International Mission
NGO,"Christian Association of Nigeria (CAN) Women's Wing, Kaduna State Branch"
NGO,Christian Care Foundation (CCF)
NGO,Christian Foundation for Social Justice and Equity (CFSJ&E)
NGO,Christian Health Association of Nigeria (CHAN)
NGO,Christian Link International Ministry (CLIM)
NGO,Christian Pentecostal Fellowship of Nigeria (CPFN)
NGO,Christian Social Movement of Nigeria
NGO,Christian Youth Association of Nigeria
NGO,Christianah Fate Foundation
NGO,Christoffel Blinden Mission (CBM)
NGO,Christopher Kolade Foundation
NGO,Church of Christ in Nigeria (COCIN)
NGO,Chuuk Villagers Alliance
NGO,Circle for the Needy (CFN)
CSO,Citizens Center for Integrated Development and Social Rights
NGO,Citizens Right and Empowerment Advocacy Initiative (CREMA Initiative)
NGO,Citizens for Righteousness and Social Justice
CSO,Citizen's Advocacy for Good Governance
NGO,Civic Duties Awarness Initiatives
NGO,Civic Education Foundation (CEFON)
NGO,Civil Liberty Organisation
NGO,Civil Resource Development and Documentation Center (CIRDDOC)
NGO,Civil Rights Concern
NGO,Civil Society Action Coalition of Education for All (CSACEFA)
CSO,Civil Society Legislative Advocacy Centre (CISLAC)
NGO,Civil Society for HIV/AIDS in Nigeria
NGO,Clean and Beautiful Atmosphere Initiative Incorporated (CABAI Inc)
NGO,Club 7000 of Nigeria
NGO,Coalition for Change in the FPRT in Nigeria
NGO,Coalition of Human Rights Org.
NGO,Committee For The Support Of The Dignity Of Women
NGO,Committee for Advancement of Justice
NGO,Commonwealth Women Organisation Nigeria
NGO,Communal Circle of Nigeria
NGO,Communicating for Change
NGO,Communication Development Initiative (CDI)
NGO,Communities Development Agency (CDA)
NGO,Community Action Against Drug Abuse (CAADA)
NGO,Community Action for Popular Participation
NGO,Community Action for integral Development
NGO,Community Child Education and Development (COMED)
NGO,Community Conservation and Development Initiatives (CCDI)
NGO,Community Development Foundation (CDF)
NGO,Community Development Partners (CODEP)
NGO,Community Empowerment & Development Association (CEDA)
NGO,Community Empowerment Partners For Peace And Health Initiative (CEPPHI)
NGO,Community Health Action and Mobilization Project
NGO,Community Health Education and Development Initiative (CHEDI)
NGO,Community Health Education and Development in African (COHEDA)
NGO,Community Health Enlightenment & Development
NGO,Community Health Information Education Forum (CHIEF)
NGO,Community Health Initiative Nigeria (CHI NIGERIA)
NGO,Community Health and Development Advisory Trust (COHDAT)
NGO,Community Law Center
NGO,Community Lift Project (CLP)
NGO,Community Partners for Development (CPD)
NGO,Community Rights Initiative
CSO,Community Rights Project (CRP)
NGO,Community Women Progressive Association
NGO,Community women credit Organisation (COWOC)
NGO,Concern for Elders Initiative (CEI)
NGO,Concerned Minds
NGO,Concerned Professionals Conference Center
NGO,Concerns Organization
NGO,Constitutional Rights Project (CRP)
NGO,Consulting Center for Constitutional Rights and justice
NGO,Cookey Environmental & Public Health Services (CEPHS)
NGO,Cooperative Development Research Action Centre (CODERAC)
NGO,Cooperative Federation of Nigeria
NGO,Corporate Mediators
NGO,Council for Ethnic Equality (CEEQUA)
NGO,Country Associates Network (CANET)
NGO,Country Women Association of Nigeria (COWAN)
NGO,Courageous People Health and Development Initiative (CPHDI)
NGO,Creative Actors Initiative for Development (CRAID)
NGO,Crested Edge Educational and Entrepreneurial Development Initiative (CrEEED Initiative)
NGO,Crime Victims Foundation
NGO,Cuban Foundation
NGO,Daily Bread Organization (DBO) Nigeria
NGO,Dako Foundation for Rural HealthCare and Education (DFRHCE)
NGO,Daniel Ogechi Akujobi Memorial Foundation
NGO,Daughters of Divine Love Rehabilitation Home (DDLREHAB HOME)
NGO,Dave Nnabuife Inyere Foundation
NGO,Demah Healthcare Foundation (DHF)
NGO,Demand Project
NGO,Democratic Front for a People's Federation (DFPF)
NGO,Democratic Youth League
NGO,Demonstration School for Deaf Children
NGO,Destitute Careers and Rehabilitation Center of Nigeria
NGO,Dev. Empowerment Society International
NGO,Development Alternatives and Resource Center (DARC)
NGO,Development Concerns (DC)
CSO,Development Dynamics
NGO,Development Education Center
NGO,Development Education and Leadership Services Programme (DELES)
NGO,Development Exchange Centre
NGO,Development Forum and Skills Acquisition Center
NGO,Development Information Network (DEVNET)
NGO,Development Initiative Network (DIN)
NGO,Development Initiatives (DEVIN)
NGO,Development Options for Humanity (DOH)
NGO,Development Policy Centre (DPC)
NGO,Development Report Magazine
NGO,Development Research Bureau (DRB)
NGO,Development Support Agencey
NGO,Dewdrops Care Development Foundation
NGO,Diamond Lights Women Empowerment
NGO,Diaspora Africa Association & Services
NGO,Dick Tiger Ihetu Foundation (DTIF)
NGO,Diocesan Development Services (DDS)
NGO,Disabilities Overcomers Multi-Purpose Cooperative Society (Disabilities Overcomers)
NGO,Disabled Women Empowerment Multi-Purpose Co-operative Society (DWEMPCOOPS)
NGO,Distress Care (Orphanage) Mission (DCM)
NGO,Divine Ambassadors' Foundation (DIVA Foundation)
NGO,Divine Inspiration
NGO,Doctors for All Nations (DOFAN)
NGO,Dolly Children Foundation
NGO,Doma Education Development Foundation (DEDF)
NGO,Dove Generation International Youths Organisation
NGO,Dr Ona Ekhomu Educational foundation
NGO,Dreamboat Development Theatre Foundation (DREAMBOAT)
NGO,Dubass-Duke Foundation
NGO,Dugwaba Multi-purpose Cooperative Society Ltd
NGO,"EB-International Environment, Biodiversity and Tourism (EB-International)"
NGO,EFFEMAB Women
NGO,Eagles Wing Development Centre â€˜for the Girl Child'(EWDC)
NGO,Earth Push - Ltd/GTE
NGO,EarthRights Environmental Network Initiative
NGO,Earthones
NGO,Ebifuro Organisation (EBORGAN)
NGO,Ebunoluwa Foundation
NGO,Echekwu Damian Foundation
NGO,Economic Empowerment and Development Initiative (EEDI)
NGO,Economic and Social Empowerment of Rural Communities (ESERC)
NGO,Edda Women's League Aikpo South LGA
NGO,Edo Sate NGOs Action Committee
NGO,Edo/Delta Nigeria AIDS Concern Network (ENACON)
NGO,Educare Trust
NGO,Educate Nigeria Initiative
NGO,Education As a Vaccine Against AIDS Inc. (EVAA)
NGO,Education For All Initiative
NGO,Education For All by 2000 Plus (EFA)
NGO,Educational Cooperation Society
NGO,Educational Empowerment Initiatives (EEI)
NGO,Educational promotions & Enlightenment Body
NGO,Ekine Socio - Economic Organisation (ESEO)
NGO,Ekuri Community Forestry Initiative
NGO,El-Shaddai Widows' Outreach (EL-WO)
CSO,Election Monitor
NGO,Elijah's Widows And Orphans Mission INT'L
NGO,Elshaddai Life Support Initiative (ELSI)
NGO,Emerge Foundation Inc.
NGO,Emerging World Organisation
NGO,Emeron Foundation
NGO,Emmanuel World Children Foundation (EWCF)
NGO,Empowering Destiny for Eternity Network Initiative (EDEN-I)
CSO,Empowering Women For Excellence Initiative
NGO,Empowerment & Action Research Centre (EMPARC)
NGO,Emwai Centre for Political and Economic Research
NGO,Enoch Adeyemi Foundation (EAF)
CSO,Enough is Enough Nigeria
NGO,Entertainment Lawyer
NGO,Environment Rights Mandate
NGO,Environment and Tourism Support Initiative
NGO,Environmental Damages Grassroots Enlightenment (EDGE)
NGO,Environmental Group of Onikan (EGO)
NGO,Environmental Protection and Management Club (EPMAC)
NGO,Environmental Research Development Organisation (ERDO)
NGO,Environmental Up-Building Club-Nigeria (EU Club-Nigeria)
NGO,Equip Africa
NGO,Equity Advocates
NGO,Eradicaids surveillance
NGO,Eruobodo House Society (EHS)
NGO,Esto Perpectua Development Intitiative (EPDI)
NGO,Esuene foundation
NGO,Ethical Conduct Awareness Initiative
NGO,Ethnic Minority & Indigenous Rights Organisation of Africa (EMIROAF)
NGO,Etiti Ohazu Community Partners for health
NGO,Etsako Professional women Association
NGO,Eucharia Help Foundation
NGO,Evolve CareGiver Foundation
NGO,Excellence Foundation International Incorporation
NGO,Excellence and Friends (EXCEL)
NGO,Excellent World Foundation
NGO,Exclusive Network for Youth Empowerment Initiative
NGO,Extremely Positive About Change Initiative
NGO,"Ezinne Christian Women Organisation, (ECWO)"
NGO,Eziukwu 2 (Asaokpuaja) Community Partners for Health (CPH)
CSO,FATI
NGO,FEAT Consultancy Ltd
CSO,FENRAD
NGO,FOLMACS
NGO,FSH Empowerment Foundation
NGO,Fair Life Africa Foundation
NGO,Fair Trade Handicraft Foundation (FHF)
NGO,Faith Alive Foundation (FAITH ALIVE)
NGO,Family Alive Network
NGO,Family Craft Centre (FCC)
NGO,Family Health Organisation
NGO,Family Health and Population Action Committee (FAHPAC)
NGO,Family Heritage Initiative
NGO,Family Unity for Sustainable Development Foundation (FUSDF)
NGO,Fantsuam Foundation
NGO,Farmers Development Union
NGO,Fate Foundation USA
NGO,Federaion of Nigeria Youth Cooperative
NGO,Federation International de Abogadas (FIDA)
NGO,Federation of Akwa Ibom Women Associations (FAIWA)
NGO,Federation of Business & Professional Women's Club
NGO,Federation of Muslim Women Association in Nigeria (FOMWAN)
NGO,Federation of Ogoni women Association
NGO,Feed My Lamb Foundation (FMLF)
NGO,Feed The Flock Of God Foundation
NGO,Feet of Grace Foundation (FOGF)
NGO,Fellowship of Christian Students/Aids for AIDS and Design for the Family Project (FCS/AFADFP)
NGO,Fem-suyi Center for Public Awareness and Development
NGO,"Feminine, Family and Foundation AID (F3AID)"
NGO,Femope Foundation (Health Development an Management (FEMOPE)
NGO,Festus Fajemilo Foundation
NGO,Finsol Global Foundation (FINSOL)
NGO,Fire Disaster Prevention & Safety Awareness Organization of Nigeria
NGO,First Aid Group of Young Muslim Congress of Nig
CSO,Fiscal Transparency and Accountability Initiative
NGO,Fobur East Women & Youth Development Initiative
NGO,Focus Health and Empowerment Initiative (FOHEI)
NGO,Food Basket Foundation International (FBFI)
NGO,Food Beverage and Tobacco Senior Staff Association
NGO,Food Education Shelter and Health Foundation
NGO,Food Security Forum
NGO,Forestry Association of Nigeria
NGO,Forum for rights Awareness and Citizenship Obligations of Nigeria (FRACON)
NGO,Forum on Governance and Democratization
NGO,Forward Africa (FOFA)
NGO,Foster Paradise Orphahage
NGO,Fota 5loaves 2Fishes Hunmantarian Outreach
NGO,Foundation for Disabled Women
NGO,Foundation for Empowerment and Socio-Economic Development
NGO,Foundation for Environment Development & Education in Nigeria (FEDEN)
NGO,"Foundation for Health, Environment and Human Development (FHEHD)"
NGO,Foundation for Human Development
NGO,Foundation for Leadership & Education Development
NGO,Foundation for Rural Urban Integration
NGO,Foundation for Wealth and Mental Empowerment
NGO,Foundation for the Advancement of Women and the Girl-Child (FADWOG)
NGO,Foundry Association of Nigeria (FAN)
NGO,Freedom Foundation International
NGO,Freedom of Information Coalition (FOIC)
NGO,Freky Andrew-Essien Care Foundation
NGO,Friendly Environment and Human Development Foundation (FEHD) Foundation)
NGO,Friends In Need Empowerment
NGO,Friends of The Environment (FOTE)
NGO,Friends of Working and Street Children in Nigeria
NGO,Friends of the Child in Nigeria (FOCIN)
NGO,Friends of the Disabled (FOTD)
NGO,Friends of the Needy Organisation
NGO,Friendship Organisation for Humanity
NGO,Front-Line Health Organisation (FLHO)
NGO,Future Hope of Africa
NGO,GAAVOHCR
NGO,GADINET
NGO,Gabasawa Women and Children
NGO,Gama Community Partners for Health
NGO,Gamaliel and Susan Onosode Foundation
NGO,Gamboku Women Development Association (GAWODA)
NGO,"Gantys Aid for Widows, Orphans & Needy"
NGO,Gardening for Nutrition
NGO,Gas to Health Initiative
NGO,Gateway to health and Life
NGO,Gbadamosi Olayinka Light Foundation (GOLIF)
NGO,Gender Action Team (GAT)
NGO,Gender Care Initiative (GCI)
NGO,Gender Development Initiative
NGO,Gender Development Network
NGO,Gender Empowerment Network Through Literacy Exercises (GENTLE)
NGO,Gender Rights Project (GRP)
NGO,Gender and Child Care Advancement Initiative (G-CCAI)
NGO,Gender and Development Action (GADA)
CSO,Gender on the Balance
NGO,General Action Against the Violation of Human and Children Rights (GAAVOHCR)
NGO,Generation 2 Educational and Childcare support Programme
NGO,Generation Initiative for Women and Youth Network (GIWYN)
NGO,Genotype Foundation (GF)
NGO,Geriatric Health Foundation (GHF)
NGO,Girl Watch
NGO,Girls Education Mission International
NGO,Girls Power Initiative (GP)
NGO,"Girls' Initiative, Rights and Legal Society of Africa (GIRLS OF AFRICA)"
NGO,Gisters
NGO,Given Life Organisation
NGO,Gladstar Gifted and Talented Educational Centre
NGO,Glamour Ladies Club
NGO,Global African Congress
NGO,Global Alert for Defence of Youth and the Less Privileged (GADYLP)
NGO,Global Association for War Against AIDS (gawaa)
CSO,Global Association of Female Attorneys (GAFA)
NGO,Global Centre for Peace and Justice
NGO,Global Community Health Foundation
NGO,Global Health Foundation (GHF)
NGO,Global Health Network
